Ticker,Sector,Market Cap,P/E Ratio,Average Return,Volatility
DEEPAKFERT.NS,Basic Materials,167940718592.0,24.750698,0.007546734932908,0.0347170470880436
DEEPAKNTR.NS,Basic Materials,365294518272.0,42.37067,0.0007657433055546,0.0207952489364275
DELTACORP.NS,Consumer Cyclical,32121808896.0,16.232748,0.0004131651224537,0.0238965821360338
DEN.NS,Communication Services,22369859584.0,9.982979,-7.272440911885991e-05,0.0249579839843895
DENORA.NS,Industrials,6653048320.0,36.236233,-0.0011428906265293,0.0279041099906808
DGCONTENT.NS,Communication Services,2641759744.0,15.592465,0.0045578159855725,0.0307380279663171
DHAMPURSUG.NS,Consumer Defensive,13055288320.0,14.595029,-0.0005882688073759,0.0211657891091258
DHANBANK.NS,Financial Services,8516393984.0,35.03125,-0.0015618834909314,0.021642572521798
DHANUKA.NS,Basic Materials,72150073344.0,26.954363,0.0020095090044584,0.0287254580494047
DHUNINV.NS,Financial Services,13994844160.0,19.379648,0.0060233842117756,0.042168118406575
DIAMONDYD.NS,Consumer Defensive,26223777792.0,53.185135,0.0020504167454017,0.0284798833507559
DIGISPICE.NS,Technology,7179913728.0,12.869199,0.0012294913823911,0.037928224872495
DIVISLAB.NS,Healthcare,1579500699648.0,94.33725,0.0034687511272467,0.0171615829755956
DIXON.NS,Technology,935194591232.0,128.20995,0.005290057718133,0.0284527016651734
DLF.NS,Real Estate,1945593708544.0,54.057774,-0.0003157528587811,0.0235239187579015
DLINKINDIA.NS,Technology,20074428416.0,20.369635,0.0054355866891573,0.0402490722172117
DMART.NS,Consumer Defensive,2521265078272.0,94.338936,-0.0015039707134941,0.0196676400818831
DNAMEDIA.NS,Communication Services,654456448.0,0.47725323,0.0028365571688688,0.0357293028086379
DOLLAR.NS,Consumer Cyclical,31086129152.0,34.12297,-0.0001762788725324,0.0244385751484694
DONEAR.NS,Consumer Cyclical,6019520000.0,16.3966,0.001416486026908,0.0309442251784435
DPABHUSHAN.NS,Consumer Cyclical,38302863360.0,45.452106,0.0032622530523545,0.0289581199690243
DPSCLTD.NS,Utilities,17372413952.0,162.18182,0.0006735251785929,0.0290164307188888
DPWIRES.NS,Industrials,6391596032.0,19.724749,-0.0009948521247808,0.0218194693653562
DRREDDY.NS,Healthcare,1069339508736.0,19.378775,0.0005669908218029,0.0113048305535566
DSSL.NS,Technology,16663685120.0,28.984512,0.000757750213602,0.0322175047456748
DUCON.NS,Industrials,2856099584.0,24.416666,0.0026063410426223,0.0344694516711385
DVL.NS,Financial Services,15675348992.0,8.583621,0.0034988869545661,0.0347003720701066
DYNAMATECH.NS,Consumer Cyclical,49320144896.0,53.47667,-0.0001766350185753,0.0256380999402478
DYNPRO.NS,Basic Materials,5242578432.0,106.30488,0.0041639457806883,0.0298681241320897
ECLERX.NS,Technology,152212357120.0,30.396341,0.0026958009724299,0.022287216652044
